District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Area and size class of locality,Indicators,Value
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,3
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,17886
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Male,41022
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Female,43290
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of localities,1
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of household,15200
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Male,38113
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Female,35666
Bara,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of localities,12
Bara,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of household,6357
Bara,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Male,21548
Bara,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Female,20663
Bara,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,20
Bara,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,13529
Bara,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Male,46940
Bara,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Female,45274
Bara,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,56
Bara,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,54206
Bara,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Male,183923
Bara,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Female,174195
Bara,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of localities,7
Bara,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of household,14288
Bara,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Male,41805
Bara,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Female,42109
