District,Category ,Value
Dhanusa ,Population Land Ratio ( person per ha .),10.44
Dhanusa ,Population Density (person per sq.km.),640
Mahottari ,Geographical Area (sq.km.),1002
Mahottari ,Holding Number,80844
Mahottari ,Holding Area (ha),64977.2
Mahottari ,Household,111316
Mahottari ,Population,627580
Mahottari ,Population Land Ratio ( person per ha .),9.66
Mahottari ,Population Density (person per sq.km.),626
Sarlahi ,Geographical Area (sq.km.),1259
Sarlahi ,Holding Number,98288
Sarlahi ,Holding Area (ha),80678.4
Sarlahi ,Household,132844
Sarlahi ,Population,769729
Sarlahi ,Population Land Ratio ( person per ha .),9.54
Sarlahi ,Population Density (person per sq.km.),611
Sindhuli ,Geographical Area (sq.km.),2491
Sindhuli ,Holding Number,51233
Sindhuli ,Holding Area (ha),26626.3
Sindhuli ,Household,57581
Sindhuli ,Population,296192
Sindhuli ,Population Land Ratio ( person per ha .),11.12
Sindhuli ,Population Density (person per sq.km.),119
Ramechhap ,Geographical Area (sq.km.),1546
Ramechhap ,Holding Number,40888
Ramechhap ,Holding Area (ha),30372.4
Ramechhap ,Household,43910
Ramechhap ,Population,202646
Ramechhap ,Population Land Ratio ( person per ha .),6.67
Ramechhap ,Population Density (person per sq.km.),131
Dolakha ,Geographical Area (sq.km.),2191
Dolakha ,Holding Number,40718
Dolakha ,Holding Area (ha),26844.6
Dolakha ,Household,45688
Dolakha ,Population,186557
Dolakha ,Population Land Ratio ( person per ha .),6.95
Dolakha ,Population Density (person per sq.km.),85
Sindhupalchok ,Geographical Area (sq.km.),2542
Sindhupalchok ,Holding Number,58998
Sindhupalchok ,Holding Area (ha),34781.5
Sindhupalchok ,Household,66688
Sindhupalchok ,Population,287798
Sindhupalchok ,Population Land Ratio ( person per ha .),8.27
Sindhupalchok ,Population Density (person per sq.km.),113
Kavrepalanchok ,Geographical Area (sq.km.),1396
Kavrepalanchok ,Holding Number,68872
Kavrepalanchok ,Holding Area (ha),39707.3
Kavrepalanchok ,Household,80720
Kavrepalanchok ,Population,381937
Kavrepalanchok ,Population Land Ratio ( person per ha .),9.62
