District,Zone,Geographical Region,Development Region,Year AD,Year BS,Manufacturing Company Type,No of establishment,No of persons engaged,No of employees,"Wages, Salaries and other benefits(In thousand)"
Taplejung,Mechi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,2,,,
Taplejung,Mechi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,2,,,
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,3,252,240,5139
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Textiles,2,,,
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,1,,,
Ilam,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,,,
Ilam,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,59,2923,2773,115933
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Tobacco Products,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,6,1226,1219,25754
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,14,565,550,20144
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,4,129,118,5476
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,2,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,15,3736,3723,22413
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,32,440,380,14169
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,68,1881,1759,109568
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Tobacco Products,2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,18,8934,8896,342435
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",6,157,152,7362
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,28,253,198,8090
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,8,185,172,7498
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",24,449,381,19029
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Coke, Refined Petroleum Products And Nuclear",2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,17,500,470,22539
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,36,1348,1299,81491
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,19,2317,2291,48178
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Basic Metals,2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",15,411,392,16121
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,10,1367,1348,82344
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Motor Vehicles; Trailers And Semi-Trailers,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Transport Equipments,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,37,630,542,22570
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,86,2500,2312,114865
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,12,7158,7137,428089
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harnes",5,245,228,12993
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,18,211,173,7066
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,5,220,210,10567
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,11,520,497,32022
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,9,710,693,31312
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,19,1540,1508,11251
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Basic Metals,11,90,72,3370
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",19,178,138,5104
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Machinary And Equipment N.E.C.,1,,,
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,2,,,
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,17,264,222,8787
Dhankuta,Kosi,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,228,223,5735
Dhankuta,Kosi,Hill,Eastern,2006/07,2063/64,Manuf. Of Textiles,5,95,89,1001
Dhankuta,Kosi,Hill,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,1,,,
Terhathum,Kosi,Hill,Eastern,2006/07,2063/64,Manuf. Of Textiles,7,,,
Sankhuwasabha,Kosi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,1,,,
Sankhuwasabha,Kosi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,4,60,40,2117
Bhojpur,Kosi,Hill,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,2,,,
Khotang,Sagarmatha,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,3,,,
Udayapur,Sagarmatha,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,10,115,54,2319
Udayapur,Sagarmatha,Hill,Eastern,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",1,,,
Udayapur,Sagarmatha,Hill,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,6,33,20,825
Saptari,Sagarmatha,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,23,408,353,8902
Saptari,Sagarmatha,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,5,57,38,861
Saptari,Sagarmatha,Terai,Eastern,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",2,,,
Saptari,Sagarmatha,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,30,2379,2324,25353
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,16,187,153,8014
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,11,114,89,5558
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,1,,,
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,3,60,55,3972
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,29,1725,1671,41413
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Basic Metals,3,47,41,2293
Dhanusa,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,1,,,
Mahottari,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,6,68,54,3800
Mahottari,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,22,829,795,19570
Mahottari,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,7,72,57,1872
Sarlahi,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,179,168,11473
Sarlahi,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Tobacco Products,6,99,70,458
Sarlahi,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,7,269,264,13160
Sarlahi,Janakpur,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,25,898,863,18520
Ramechhap,Janakpur,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,4,61,61,3171
Ramechhap,Janakpur,Hill,Central,2006/07,2063/64,Manuf. Of Textiles,3,48,48,1978
Dolakha,Janakpur,Mountain,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,2,,,
Sindhupalchok,Bagmati,Mountain,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,3,102,94,3937
Sindhupalchok,Bagmati,Mountain,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,4,57,52,2584
Sindhupalchok,Bagmati,Mountain,Central,2006/07,2063/64,Manuf. Of Basic Metals,1,,,
Kavre,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,6,437,416,28235
Kavre,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,4,186,180,7900
Kavre,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,2,,,
Kavre,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,4,238,231,10239
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,9,107,97,3853
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Textiles,56,2393,2231,100400
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,2,,,
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",3,85,81,2843
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,19,312,266,13931
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",4,478,474,13631
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,2,,,
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,12,222,187,9786
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,34,3678,3576,59243
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Basic Metals,8,99,87,4153
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",12,161,138,6826
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,4,42,39,1860
Lalitpur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,18,392,360,23638
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,4,47,41,2656
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Textiles,66,2963,2871,130515
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,3,48,47,1945
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,4,186,183,24642
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,3,63,50,2474
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,47,3069,3069,55035
Bhaktapur,Bagmati,Hill,Central,2006/07,2063/64,"Manuf. Of Medical, Precision And Optical Instruments, Watch And Clocks",1,,,
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,31,1493,1443,71686
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Textiles,271,13433,13055,516410
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,15,1411,1382,60042
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harnes",5,118,115,9003
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,15,183,148,7777
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,10,167,152,8389
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",29,2082,2019,221660
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,9,1243,1225,70544
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,22,411,377,19828
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,15,258,241,13464
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Basic Metals,7,46,33,2121
Kathmandu,Bagmati,Hill,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",14,216,199,11016
Nuwakot,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,3,179,169,4052
Rasuwa,Bagmati,Mountain,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,2,,,
Dhading,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,8,212,201,5090
Dhading,Bagmati,Hill,Central,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,4,64,55,3319
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,9,470,467,41464
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Textiles,3,339,334,8696
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,5,57,50,2389
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,3,241,231,13258
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,9,654,652,104482
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,7,320,305,20502
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,9,811,805,158790
Makwanpur,Narayani,Hill,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",2,,,
Rautahat,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,13,113,102,5081
Rautahat,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,4,34,29,1104
Rautahat,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,23,2079,2046,23485
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,65,2408,2278,137537
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Tobacco Products,6,509,490,61093
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Textiles,11,877,862,90176
Bara,Narayani,Terai,Central,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",4,289,281,10066
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,2,,,
Bara,Narayani,Terai,Central,2006/07,2063/64,"Manuf. Of Coke, Refined Petroleum Products And Nuclear",5,197,191,14488
Bara,Narayani,Terai,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,15,1243,1182,73785
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,18,1571,1542,85794
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,39,3362,3284,64601
Bara,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Basic Metals,10,1639,1626,171970
Bara,Narayani,Terai,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",10,1721,1691,103067
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,82,1410,1271,71966
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Textiles,23,2537,2499,146756
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,5,76,67,1844
Parsa,Narayani,Terai,Central,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",8,185,172,9277
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,9,102,86,3858
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,6,175,168,7194
Parsa,Narayani,Terai,Central,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",12,197,172,6726
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,16,1038,996,92589
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,21,612,569,35852
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,5,220,210,5843
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Basic Metals,9,328,325,23940
Parsa,Narayani,Terai,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",6,57,53,2991
Parsa,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,3,34,27,891
Parsa,Narayani,Terai,Central,2006/07,2063/64,"Manuf. Of Radio, Television And Communication Equipment And Apparatus",2,,,
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Food Products And Beverages,29,380,310,19133
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,9,136,115,5722
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Paper And Paper Products,5,119,111,7057
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,9,219,204,8306
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,25,2930,2893,63047
Chitawan,Narayani,Terai,Central,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",4,51,41,2014
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Machinary And Equipment N.E.C.,2,,,
Chitawan,Narayani,Terai,Central,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,9,138,117,6405
Gorkha,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,1,,,
Gorkha,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,6,88,75,1996
Tanahu,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,39,34,1062
Tanahu,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,14,1227,1200,22726
Syangja,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,11,126,97,4058
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,34,1244,1197,68778
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Textiles,6,120,113,4460
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,38,567,504,24100
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,3,135,134,8015
Kaski,Gandaki,Hill,Western,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",7,93,74,4109
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,14,136,112,5125
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Basic Metals,4,56,46,3390
Kaski,Gandaki,Hill,Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",13,462,436,23729
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Machinary And Equipment N.E.C.,4,53,40,2318
Kaski,Gandaki,Hill,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,18,285,247,11611
Mustang,Dhawalagiri,Mountain,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,,,,
Myagdi,Dhawalagiri,Hill,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,,,,
Parbat,Dhawalagiri,Hill,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,1,,,
Parbat,Dhawalagiri,Hill,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,6,75,54,2746
Palpa,Lumbini,Hill,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,3,45,29,1387
Palpa,Lumbini,Hill,Western,2006/07,2063/64,Manuf. Of Textiles,10,227,200,7971
Palpa,Lumbini,Hill,Western,2006/07,2063/64,Manuf. Of Basic Metals,4,45,27,1375
Palpa,Lumbini,Hill,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,8,101,78,3989
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,36,875,784,22213
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,8,73,62,2943
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,3,838,829,117074
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,3,625,616,6428
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,12,1163,1141,26985
Nawalparasi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,3,87,83,1824
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,79,1099,933,39996
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Textiles,9,1013,998,41126
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,11,102,78,3074
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,6,87,80,4586
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",11,198,182,5937
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,4,532,527,36513
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,11,300,278,17420
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,53,2881,2800,76131
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",12,934,901,63484
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Machinary And Equipment N.E.C.,4,53,50,2590
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,3,158,127,6415
Rupandehi,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,19,253,215,6866
Kapilbastu,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,13,93,73,1264
Kapilbastu,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,6,46,39,1289
Kapilbastu,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,28,2854,2797,56890
Kapilbastu,Lumbini,Terai,Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,4,45,36,1825
Dang,Rapti,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,14,151,126,4849
Dang,Rapti,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,11,191,175,6167
Dang,Rapti,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,11,535,519,9222
Dang,Rapti,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,7,105,91,3660
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,32,511,397,23983
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,5,55,42,2081
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,4,293,289,13043
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,3,139,136,9534
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,37,1680,1581,33350
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Basic Metals,3,181,177,18106
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",3,239,221,15330
Bardiya,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,8,116,93,3561
Bardiya,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,6,189,181,73
Banke,Bheri,Terai,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,6,60,53,1693
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,33,27,1473
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Textiles,1,,,
