District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicators,Number
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Household,59291
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Area in Sq.km.,1373
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Average Household size,4.41
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Household,41196
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,1241
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Average Household size,4.66
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Household,35719
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Area in Sq.km.,494
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Average Household size,4.1
Parsa,Narayani,Terai,Central,2068/69,2011/12,Household,95536
Parsa,Narayani,Terai,Central,2068/69,2011/12,Area in Sq.km.,1353
Parsa,Narayani,Terai,Central,2068/69,2011/12,Average Household size,6.29
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Household,47730
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,1309
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Average Household size,4.78
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Household,43910
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Area in Sq.km.,1546
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Average Household size,4.62
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Household,9778
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Area in Sq.km.,1544
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Average Household size,4.43
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Household,106668
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Area in Sq.km.,1126
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Average Household size,6.44
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Household,43757
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,1879
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Average Household size,5.13
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Household,41856
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,2877
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Average Household size,4.98
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Household,163916
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Area in Sq.km.,1360
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Average Household size,5.37
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Household,46556
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,1462
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Average Household size,5.21
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Household,34624
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Area in Sq.km.,3480
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Average Household size,4.58
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Household,121098
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Area in Sq.km.,1363
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Average Household size,5.28
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Household,132844
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Area in Sq.km.,1259
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Average Household size,5.79
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Household,57581
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Area in Sq.km.,2491
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Average Household size,5.14
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Household,66688
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Area in Sq.km.,2542
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Average Household size,4.32
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Household,117962
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Area in Sq.km.,1188
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Average Household size,5.4
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Household,23785
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Area in Sq.km.,3312
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Average Household size,4.45
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Household,162407
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Area in Sq.km.,1257
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Average Household size,4.7
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Household,72863
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,2451
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Average Household size,4.81
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Household,68881
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Area in Sq.km.,1164
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Average Household size,4.2
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Household,78309
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Area in Sq.km.,1546
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Average Household size,4.13
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Household,26509
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Area in Sq.km.,3646
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Average Household size,4.81
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Household,22094
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,679
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Average Household size,4.6
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Household,66557
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,2063
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Average Household size,4.77
