District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Indicator,Sub-Indicator,Value
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,School attendence not Stated,Male,34
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,School attendence not Stated,Female,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,Currently going to school,Male,2606
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,Currently going to school,Female,2774
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,Not currently going to school,Male,96
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,Not currently going to school,Female,96
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,School attendence not Stated,Male,33
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,13 Year,School attendence not Stated,Female,31
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,Currently going to school,Male,2335
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,Currently going to school,Female,2559
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,Not currently going to school,Male,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,Not currently going to school,Female,147
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,School attendence not Stated,Male,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,14 Year,School attendence not Stated,Female,27
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,Currently going to school,Male,1992
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,Currently going to school,Female,2377
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,Not currently going to school,Male,188
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,Not currently going to school,Female,276
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,School attendence not Stated,Male,35
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 Year,School attendence not Stated,Female,63
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,Currently going to school,Male,1375
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,Currently going to school,Female,1776
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,Not currently going to school,Male,292
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,Not currently going to school,Female,458
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,School attendence not Stated,Male,37
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,16 Year,School attendence not Stated,Female,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,Currently going to school,Male,921
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,Currently going to school,Female,1219
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,Not currently going to school,Male,353
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,Not currently going to school,Female,686
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,School attendence not Stated,Male,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,17 Year,School attendence not Stated,Female,45
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,Currently going to school,Male,551
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,Currently going to school,Female,832
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,Not currently going to school,Male,457
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,Not currently going to school,Female,1064
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,School attendence not Stated,Male,20
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,18 Year,School attendence not Stated,Female,57
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,Currently going to school,Male,200
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,Currently going to school,Female,359
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,Not currently going to school,Male,313
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,Not currently going to school,Female,832
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,School attendence not Stated,Male,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,19 Year,School attendence not Stated,Female,35
