District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
Palpa,Lumbini,Hill,Western,2068/69,2011/12,,,,
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,,,,
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,,,,
Parsa,Narayani,Terai,Central,2068/69,2011/12,,,,
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,,,,
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,,,,
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,,,,
Rautahat,Narayani,Terai,Central,2068/69,2011/12,,,,
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,,,,
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,,,,
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,,,,
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,,,,
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,,,,
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,,,,
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,,,,
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,,,,
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,,,,
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,,,,
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,,,,
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,,,,
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,,,,
Syangja,Gandaki,Hill,Western,2068/69,2011/12,,,,
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,,,,
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Parents,1151
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Mother,91
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Other relatives,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Others,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,Male,Not stated,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Parents,4815
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Mother,292
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Father,39
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Other relatives,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Others,71
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,Male,Not stated,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Parents,6980
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Mother,725
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Father,83
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Father and step mother,17
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Other relatives,75
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Others,142
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,Male,Not stated,25
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Parents,8698
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Mother,928
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Father,268
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Father and step mother,42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Other relatives,134
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Employer,42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Others,217
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,Male,Not stated,17
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Parents,1143
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Mother,73
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Other relatives,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Others,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   Under 1 Year,  Female,Not stated,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Parents,4692
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Mother,410
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Father,25
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Other relatives,25
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Others,33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   01 - 04 Years,  Female,Not stated,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Parents,7198
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Mother,759
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Father,111
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Father and step mother,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Mother and step father,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Other relatives,40
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Others,142
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   05 - 09 Years,  Female,Not stated,24
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Parents,8404
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Mother,1083
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Father,273
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Father and step mother,86
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Other relatives,148
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Others,382
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,   10 - 15 Years,  Female,Not stated,109
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,,,,
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,,,,
 Panchthar,,,,,,   Under 1 Year,  Male,Parents,1543
 Panchthar,,,,,,   Under 1 Year,  Male,Mother,97
 Panchthar,,,,,,   Under 1 Year,  Male,Father,0
 Panchthar,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Panchthar,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Panchthar,,,,,,   Under 1 Year,  Male,Other relatives,9
 Panchthar,,,,,,   Under 1 Year,  Male,Employer,0
 Panchthar,,,,,,   Under 1 Year,  Male,Others,18
 Panchthar,,,,,,   Under 1 Year,  Male,Not stated,9
 Panchthar,,,,,,   01 - 04 Years,  Male,Parents,6174
 Panchthar,,,,,,   01 - 04 Years,  Male,Mother,709
 Panchthar,,,,,,   01 - 04 Years,  Male,Father,8
 Panchthar,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Panchthar,,,,,,   01 - 04 Years,  Male,Mother and step father,8
 Panchthar,,,,,,   01 - 04 Years,  Male,Other relatives,41
 Panchthar,,,,,,   01 - 04 Years,  Male,Employer,0
 Panchthar,,,,,,   01 - 04 Years,  Male,Others,74
 Panchthar,,,,,,   01 - 04 Years,  Male,Not stated,8
 Panchthar,,,,,,   05 - 09 Years,  Male,Parents,9577
 Panchthar,,,,,,   05 - 09 Years,  Male,Mother,1484
 Panchthar,,,,,,   05 - 09 Years,  Male,Father,49
 Panchthar,,,,,,   05 - 09 Years,  Male,Father and step mother,32
 Panchthar,,,,,,   05 - 09 Years,  Male,Mother and step father,0
 Panchthar,,,,,,   05 - 09 Years,  Male,Other relatives,122
 Panchthar,,,,,,   05 - 09 Years,  Male,Employer,0
 Panchthar,,,,,,   05 - 09 Years,  Male,Others,292
 Panchthar,,,,,,   05 - 09 Years,  Male,Not stated,41
 Panchthar,,,,,,   10 - 15 Years,  Male,Parents,13010
 Panchthar,,,,,,   10 - 15 Years,  Male,Mother,1579
 Panchthar,,,,,,   10 - 15 Years,  Male,Father,221
 Panchthar,,,,,,   10 - 15 Years,  Male,Father and step mother,115
 Panchthar,,,,,,   10 - 15 Years,  Male,Mother and step father,25
 Panchthar,,,,,,   10 - 15 Years,  Male,Other relatives,278
 Panchthar,,,,,,   10 - 15 Years,  Male,Employer,65
 Panchthar,,,,,,   10 - 15 Years,  Male,Others,319
 Panchthar,,,,,,   10 - 15 Years,  Male,Not stated,57
 Panchthar,,,,,,   Under 1 Year,  Female,Parents,1471
 Panchthar,,,,,,   Under 1 Year,  Female,Mother,167
 Panchthar,,,,,,   Under 1 Year,  Female,Father,0
 Panchthar,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Panchthar,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Panchthar,,,,,,   Under 1 Year,  Female,Other relatives,0
 Panchthar,,,,,,   Under 1 Year,  Female,Employer,0
 Panchthar,,,,,,   Under 1 Year,  Female,Others,8
 Panchthar,,,,,,   Under 1 Year,  Female,Not stated,8
 Panchthar,,,,,,   01 - 04 Years,  Female,Parents,6077
 Panchthar,,,,,,   01 - 04 Years,  Female,Mother,682
 Panchthar,,,,,,   01 - 04 Years,  Female,Father,25
 Panchthar,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Panchthar,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Panchthar,,,,,,   01 - 04 Years,  Female,Other relatives,33
 Panchthar,,,,,,   01 - 04 Years,  Female,Employer,8
 Panchthar,,,,,,   01 - 04 Years,  Female,Others,49
 Panchthar,,,,,,   01 - 04 Years,  Female,Not stated,25
 Panchthar,,,,,,   05 - 09 Years,  Female,Parents,9738
 Panchthar,,,,,,   05 - 09 Years,  Female,Mother,1209
 Panchthar,,,,,,   05 - 09 Years,  Female,Father,85
 Panchthar,,,,,,   05 - 09 Years,  Female,Father and step mother,23
 Panchthar,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Panchthar,,,,,,   05 - 09 Years,  Female,Other relatives,146
 Panchthar,,,,,,   05 - 09 Years,  Female,Employer,15
 Panchthar,,,,,,   05 - 09 Years,  Female,Others,269
 Panchthar,,,,,,   05 - 09 Years,  Female,Not stated,46
 Panchthar,,,,,,   10 - 15 Years,  Female,Parents,12810
 Panchthar,,,,,,   10 - 15 Years,  Female,Mother,1709
 Panchthar,,,,,,   10 - 15 Years,  Female,Father,192
 Panchthar,,,,,,   10 - 15 Years,  Female,Father and step mother,75
 Panchthar,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Panchthar,,,,,,   10 - 15 Years,  Female,Other relatives,300
 Panchthar,,,,,,   10 - 15 Years,  Female,Employer,33
 Panchthar,,,,,,   10 - 15 Years,  Female,Others,550
 Panchthar,,,,,,   10 - 15 Years,  Female,Not stated,125
 Ilam,,,,,,   Under 1 Year,  Male,Parents,1882
 Ilam,,,,,,   Under 1 Year,  Male,Mother,126
 Ilam,,,,,,   Under 1 Year,  Male,Father,8
 Ilam,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Ilam,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Ilam,,,,,,   Under 1 Year,  Male,Other relatives,0
 Ilam,,,,,,   Under 1 Year,  Male,Employer,8
 Ilam,,,,,,   Under 1 Year,  Male,Others,1
 Ilam,,,,,,   Under 1 Year,  Male,Not stated,9
 Ilam,,,,,,   01 - 04 Years,  Male,Parents,7626
 Ilam,,,,,,   01 - 04 Years,  Male,Mother,553
 Ilam,,,,,,   01 - 04 Years,  Male,Father,41
 Ilam,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Ilam,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Ilam,,,,,,   01 - 04 Years,  Male,Other relatives,33
 Ilam,,,,,,   01 - 04 Years,  Male,Employer,0
 Ilam,,,,,,   01 - 04 Years,  Male,Others,103
 Ilam,,,,,,   01 - 04 Years,  Male,Not stated,50
 Ilam,,,,,,   05 - 09 Years,  Male,Parents,13182
 Ilam,,,,,,   05 - 09 Years,  Male,Mother,1066
 Ilam,,,,,,   05 - 09 Years,  Male,Father,180
 Ilam,,,,,,   05 - 09 Years,  Male,Father and step mother,41
 Ilam,,,,,,   05 - 09 Years,  Male,Mother and step father,24
 Ilam,,,,,,   05 - 09 Years,  Male,Other relatives,155
 Ilam,,,,,,   05 - 09 Years,  Male,Employer,16
 Ilam,,,,,,   05 - 09 Years,  Male,Others,348
 Ilam,,,,,,   05 - 09 Years,  Male,Not stated,95
 Ilam,,,,,,   10 - 15 Years,  Male,Parents,17752
 Ilam,,,,,,   10 - 15 Years,  Male,Mother,1832
 Ilam,,,,,,   10 - 15 Years,  Male,Father,353
 Ilam,,,,,,   10 - 15 Years,  Male,Father and step mother,54
 Ilam,,,,,,   10 - 15 Years,  Male,Mother and step father,26
 Ilam,,,,,,   10 - 15 Years,  Male,Other relatives,374
 Ilam,,,,,,   10 - 15 Years,  Male,Employer,21
 Ilam,,,,,,   10 - 15 Years,  Male,Others,667
 Ilam,,,,,,   10 - 15 Years,  Male,Not stated,158
 Ilam,,,,,,   Under 1 Year,  Female,Parents,1764
 Ilam,,,,,,   Under 1 Year,  Female,Mother,70
 Ilam,,,,,,   Under 1 Year,  Female,Father,14
 Ilam,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Ilam,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Ilam,,,,,,   Under 1 Year,  Female,Other relatives,0
 Ilam,,,,,,   Under 1 Year,  Female,Employer,0
 Ilam,,,,,,   Under 1 Year,  Female,Others,7
 Ilam,,,,,,   Under 1 Year,  Female,Not stated,29
 Ilam,,,,,,   01 - 04 Years,  Female,Parents,7350
 Ilam,,,,,,   01 - 04 Years,  Female,Mother,538
 Ilam,,,,,,   01 - 04 Years,  Female,Father,33
 Ilam,,,,,,   01 - 04 Years,  Female,Father and step mother,10
 Ilam,,,,,,   01 - 04 Years,  Female,Mother and step father,1
 Ilam,,,,,,   01 - 04 Years,  Female,Other relatives,25
 Ilam,,,,,,   01 - 04 Years,  Female,Employer,8
 Ilam,,,,,,   01 - 04 Years,  Female,Others,86
 Ilam,,,,,,   01 - 04 Years,  Female,Not stated,81
 Ilam,,,,,,   05 - 09 Years,  Female,Parents,13091
 Ilam,,,,,,   05 - 09 Years,  Female,Mother,1128
 Ilam,,,,,,   05 - 09 Years,  Female,Father,151
 Ilam,,,,,,   05 - 09 Years,  Female,Father and step mother,76
 Ilam,,,,,,   05 - 09 Years,  Female,Mother and step father,16
 Ilam,,,,,,   05 - 09 Years,  Female,Other relatives,131
 Ilam,,,,,,   05 - 09 Years,  Female,Employer,2
 Ilam,,,,,,   05 - 09 Years,  Female,Others,408
 Ilam,,,,,,   05 - 09 Years,  Female,Not stated,82
 Ilam,,,,,,   10 - 15 Years,  Female,Parents,17449
 Ilam,,,,,,   10 - 15 Years,  Female,Mother,1725
 Ilam,,,,,,   10 - 15 Years,  Female,Father,298
 Ilam,,,,,,   10 - 15 Years,  Female,Father and step mother,133
 Ilam,,,,,,   10 - 15 Years,  Female,Mother and step father,40
 Ilam,,,,,,   10 - 15 Years,  Female,Other relatives,323
 Ilam,,,,,,   10 - 15 Years,  Female,Employer,20
 Ilam,,,,,,   10 - 15 Years,  Female,Others,716
 Ilam,,,,,,   10 - 15 Years,  Female,Not stated,151
 Jhapa,,,,,,   Under 1 Year,  Male,Parents,6751
 Jhapa,,,,,,   Under 1 Year,  Male,Mother,480
 Jhapa,,,,,,   Under 1 Year,  Male,Father,0
 Jhapa,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Jhapa,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Jhapa,,,,,,   Under 1 Year,  Male,Other relatives,17
 Jhapa,,,,,,   Under 1 Year,  Male,Employer,0
 Jhapa,,,,,,   Under 1 Year,  Male,Others,10
 Jhapa,,,,,,   Under 1 Year,  Male,Not stated,48
 Jhapa,,,,,,   01 - 04 Years,  Male,Parents,25448
 Jhapa,,,,,,   01 - 04 Years,  Male,Mother,1951
 Jhapa,,,,,,   01 - 04 Years,  Male,Father,68
 Jhapa,,,,,,   01 - 04 Years,  Male,Father and step mother,79
 Jhapa,,,,,,   01 - 04 Years,  Male,Mother and step father,8
 Jhapa,,,,,,   01 - 04 Years,  Male,Other relatives,130
 Jhapa,,,,,,   01 - 04 Years,  Male,Employer,8
 Jhapa,,,,,,   01 - 04 Years,  Male,Others,219
 Jhapa,,,,,,   01 - 04 Years,  Male,Not stated,102
 Jhapa,,,,,,   05 - 09 Years,  Male,Parents,36374
 Jhapa,,,,,,   05 - 09 Years,  Male,Mother,4008
 Jhapa,,,,,,   05 - 09 Years,  Male,Father,494
 Jhapa,,,,,,   05 - 09 Years,  Male,Father and step mother,53
 Jhapa,,,,,,   05 - 09 Years,  Male,Mother and step father,17
 Jhapa,,,,,,   05 - 09 Years,  Male,Other relatives,329
 Jhapa,,,,,,   05 - 09 Years,  Male,Employer,25
 Jhapa,,,,,,   05 - 09 Years,  Male,Others,796
 Jhapa,,,,,,   05 - 09 Years,  Male,Not stated,137
 Jhapa,,,,,,   10 - 15 Years,  Male,Parents,46886
 Jhapa,,,,,,   10 - 15 Years,  Male,Mother,5227
 Jhapa,,,,,,   10 - 15 Years,  Male,Father,887
 Jhapa,,,,,,   10 - 15 Years,  Male,Father and step mother,137
 Jhapa,,,,,,   10 - 15 Years,  Male,Mother and step father,65
 Jhapa,,,,,,   10 - 15 Years,  Male,Other relatives,888
 Jhapa,,,,,,   10 - 15 Years,  Male,Employer,131
 Jhapa,,,,,,   10 - 15 Years,  Male,Others,1694
 Jhapa,,,,,,   10 - 15 Years,  Male,Not stated,330
 Jhapa,,,,,,   Under 1 Year,  Female,Parents,6109
 Jhapa,,,,,,   Under 1 Year,  Female,Mother,371
 Jhapa,,,,,,   Under 1 Year,  Female,Father,26
 Jhapa,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Jhapa,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Jhapa,,,,,,   Under 1 Year,  Female,Other relatives,32
 Jhapa,,,,,,   Under 1 Year,  Female,Employer,1
 Jhapa,,,,,,   Under 1 Year,  Female,Others,43
 Jhapa,,,,,,   Under 1 Year,  Female,Not stated,49
 Jhapa,,,,,,   01 - 04 Years,  Female,Parents,24056
 Jhapa,,,,,,   01 - 04 Years,  Female,Mother,2059
 Jhapa,,,,,,   01 - 04 Years,  Female,Father,136
 Jhapa,,,,,,   01 - 04 Years,  Female,Father and step mother,8
 Jhapa,,,,,,   01 - 04 Years,  Female,Mother and step father,8
 Jhapa,,,,,,   01 - 04 Years,  Female,Other relatives,60
 Jhapa,,,,,,   01 - 04 Years,  Female,Employer,8
 Jhapa,,,,,,   01 - 04 Years,  Female,Others,281
 Jhapa,,,,,,   01 - 04 Years,  Female,Not stated,91
 Jhapa,,,,,,   05 - 09 Years,  Female,Parents,35026
 Jhapa,,,,,,   05 - 09 Years,  Female,Mother,3829
 Jhapa,,,,,,   05 - 09 Years,  Female,Father,343
 Jhapa,,,,,,   05 - 09 Years,  Female,Father and step mother,49
 Jhapa,,,,,,   05 - 09 Years,  Female,Mother and step father,16
 Jhapa,,,,,,   05 - 09 Years,  Female,Other relatives,347
 Jhapa,,,,,,   05 - 09 Years,  Female,Employer,18
 Jhapa,,,,,,   05 - 09 Years,  Female,Others,754
 Jhapa,,,,,,   05 - 09 Years,  Female,Not stated,199
 Jhapa,,,,,,   10 - 15 Years,  Female,Parents,46158
 Jhapa,,,,,,   10 - 15 Years,  Female,Mother,5458
 Jhapa,,,,,,   10 - 15 Years,  Female,Father,891
 Jhapa,,,,,,   10 - 15 Years,  Female,Father and step mother,329
 Jhapa,,,,,,   10 - 15 Years,  Female,Mother and step father,76
 Jhapa,,,,,,   10 - 15 Years,  Female,Other relatives,910
 Jhapa,,,,,,   10 - 15 Years,  Female,Employer,212
 Jhapa,,,,,,   10 - 15 Years,  Female,Others,1687
 Jhapa,,,,,,   10 - 15 Years,  Female,Not stated,341
 Morang,,,,,,   Under 1 Year,  Male,Parents,7838
 Morang,,,,,,   Under 1 Year,  Male,Mother,428
 Morang,,,,,,   Under 1 Year,  Male,Father,0
 Morang,,,,,,   Under 1 Year,  Male,Father and step mother,16
 Morang,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Morang,,,,,,   Under 1 Year,  Male,Other relatives,0
 Morang,,,,,,   Under 1 Year,  Male,Employer,0
 Morang,,,,,,   Under 1 Year,  Male,Others,32
 Morang,,,,,,   Under 1 Year,  Male,Not stated,159
 Morang,,,,,,   01 - 04 Years,  Male,Parents,31839
 Morang,,,,,,   01 - 04 Years,  Male,Mother,2263
 Morang,,,,,,   01 - 04 Years,  Male,Father,147
 Morang,,,,,,   01 - 04 Years,  Male,Father and step mother,8
 Morang,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Morang,,,,,,   01 - 04 Years,  Male,Other relatives,33
 Morang,,,,,,   01 - 04 Years,  Male,Employer,0
 Morang,,,,,,   01 - 04 Years,  Male,Others,358
 Morang,,,,,,   01 - 04 Years,  Male,Not stated,277
 Morang,,,,,,   05 - 09 Years,  Male,Parents,45863
 Morang,,,,,,   05 - 09 Years,  Male,Mother,4014
 Morang,,,,,,   05 - 09 Years,  Male,Father,411
