Municipality,Category,Value
Birgunj Sub-Metropolitan City ,Household,24180
Birgunj Sub-Metropolitan City ,Population  Male,75382
Birgunj Sub-Metropolitan City ,Population  Female,63686
Birgunj Sub-Metropolitan City ,Growth  Rate,2.12
Birgunj Sub-Metropolitan City ,Area Km. in Sq.,21.17
Birgunj Sub-Metropolitan City ,Average Household Size,5.75
Birgunj Sub-Metropolitan City ,Sex  Ratio,118.37
Birgunj Sub-Metropolitan City ,Population  Density,6569.11
Bharatpur Municipality ,Household,36987
Bharatpur Municipality ,Population  Male,74205
Bharatpur Municipality ,Population  Female,73572
Bharatpur Municipality ,Growth  Rate,5.03
Bharatpur Municipality ,Area Km. in Sq.,162.16
Bharatpur Municipality ,Average Household Size,4
Bharatpur Municipality ,Sex  Ratio,100.86
Bharatpur Municipality ,Population  Density,911.3
Ratnanagar Municipality ,Household,10861
Ratnanagar Municipality ,Population  Male,22373
Ratnanagar Municipality ,Population  Female,24234
Ratnanagar Municipality ,Growth  Rate,2.1
Ratnanagar Municipality ,Area Km. in Sq.,35.62
Ratnanagar Municipality ,Average Household Size,4.29
Ratnanagar Municipality ,Sex  Ratio,92.32
Ratnanagar Municipality ,Population  Density,1308.45
Gorkha Municipality ,Household,8810
Gorkha Municipality ,Population  Male,15895
Gorkha Municipality ,Population  Female,17970
Gorkha Municipality ,Growth  Rate,2.73
Gorkha Municipality ,Area Km. in Sq.,60.28
Gorkha Municipality ,Average Household Size,3.84
Gorkha Municipality ,Sex  Ratio,88.45
Gorkha Municipality ,Population  Density,561.79
Byas Municipality ,Household,11326
Byas Municipality ,Population  Male,20005
Byas Municipality ,Population  Female,23610
Byas Municipality ,Growth  Rate,4.34
Byas Municipality ,Area Km. in Sq.,60.02
Byas Municipality ,Average Household Size,3.85
Byas Municipality ,Sex  Ratio,84.73
Byas Municipality ,Population  Density,726.67
Putalibazar Municipality ,Household,8190
Putalibazar Municipality ,Population  Male,14122
Putalibazar Municipality ,Population  Female,17216
Putalibazar Municipality ,Growth  Rate,0.55
Putalibazar Municipality ,Area Km. in Sq.,70.14
Putalibazar Municipality ,Average Household Size,3.83
Putalibazar Municipality ,Sex  Ratio,82.03
Putalibazar Municipality ,Population  Density,446.79
Waling Municipality ,Household,5959
Waling Municipality ,Population  Male,10987
Waling Municipality ,Population  Female,13212
Waling Municipality ,Growth  Rate,1.7
Waling Municipality ,Area Km. in Sq.,34.76
Waling Municipality ,Average Household Size,4.06
Waling Municipality ,Sex  Ratio,83.16
Waling Municipality ,Population  Density,696.17
Lekhnath Municipality ,Household,14958
Lekhnath Municipality ,Population  Male,27394
Lekhnath Municipality ,Population  Female,32104
Lekhnath Municipality ,Growth  Rate,3.63
Lekhnath Municipality ,Area Km. in Sq.,77.45
Lekhnath Municipality ,Average Household Size,3.98
Lekhnath Municipality ,Sex  Ratio,85.33
Lekhnath Municipality ,Population  Density,768.21
Pokhara Sub-Metropolitan City ,Household,68398
Pokhara Sub-Metropolitan City ,Population  Male,133318
Pokhara Sub-Metropolitan City ,Population  Female,131673
Pokhara Sub-Metropolitan City ,Growth  Rate,5.28
Pokhara Sub-Metropolitan City ,Area Km. in Sq.,55.22
Pokhara Sub-Metropolitan City ,Average Household Size,3.87
Pokhara Sub-Metropolitan City ,Sex  Ratio,101.25
Pokhara Sub-Metropolitan City ,Population  Density,4798.82
Baglung Municipality ,Household,7859
Baglung Municipality ,Population  Male,14710
Baglung Municipality ,Population  Female,16053
Baglung Municipality ,Growth  Rate,3.89
Baglung Municipality ,Area Km. in Sq.,18.35
Baglung Municipality ,Average Household Size,3.91
Baglung Municipality ,Sex  Ratio,91.63
Baglung Municipality ,Population  Density,1676.46
Tansen Municipality ,Household,8433
Tansen Municipality ,Population  Male,15332
Tansen Municipality ,Population  Female,15829
Tansen Municipality ,Growth  Rate,4.22
Tansen Municipality ,Area Km. in Sq.,21.72
Tansen Municipality ,Average Household Size,3.7
Tansen Municipality ,Sex  Ratio,96.86
Tansen Municipality ,Population  Density,1434.67
Ramgram Municipality ,Household,4982
Ramgram Municipality ,Population  Male,15505
Ramgram Municipality ,Population  Female,13468
Ramgram Municipality ,Growth  Rate,2.47
Ramgram Municipality ,Area Km. in Sq.,34.72
Ramgram Municipality ,Average Household Size,5.82
Ramgram Municipality ,Sex  Ratio,115.12
Ramgram Municipality ,Population  Density,834.48
Butwal Municipality ,Household,29687
Butwal Municipality ,Population  Male,60870
Butwal Municipality ,Population  Female,60112
Butwal Municipality ,Growth  Rate,4.73
Butwal Municipality ,Area Km. in Sq.,69.28
Butwal Municipality ,Average Household Size,4.08
Butwal Municipality ,Sex  Ratio,101.26
Butwal Municipality ,Population  Density,1746.28
Siddharthanagar Municipality ,Household,12513
Siddharthanagar Municipality ,Population  Male,32671
Siddharthanagar Municipality ,Population  Female,31895
Siddharthanagar Municipality ,Growth  Rate,2.06
Siddharthanagar Municipality ,Area Km. in Sq.,36.03
Siddharthanagar Municipality ,Average Household Size,5.16
Siddharthanagar Municipality ,Sex  Ratio,102.43
Siddharthanagar Municipality ,Population  Density,1792.01
Kapilvastu Municipality ,Household,5136
Kapilvastu Municipality ,Population  Male,15654
Kapilvastu Municipality ,Population  Female,15236
Kapilvastu Municipality ,Growth  Rate,1.28
Kapilvastu Municipality ,Area Km. in Sq.,37.2
Kapilvastu Municipality ,Average Household Size,6.01
Kapilvastu Municipality ,Sex  Ratio,102.74
Kapilvastu Municipality ,Population  Density,830.38
Ghorahi Municipality ,Household,15517
Ghorahi Municipality ,Population  Male,32149
Ghorahi Municipality ,Population  Female,32958
Ghorahi Municipality ,Growth  Rate,4.12
Ghorahi Municipality ,Area Km. in Sq.,74.45
Ghorahi Municipality ,Average Household Size,4.2
Ghorahi Municipality ,Sex  Ratio,97.55
Ghorahi Municipality ,Population  Density,874.51
Tulsipur Municipality ,Household,12223
Tulsipur Municipality ,Population  Male,25293
Tulsipur Municipality ,Population  Female,26931
Tulsipur Municipality ,Growth  Rate,4.33
Tulsipur Municipality ,Area Km. in Sq.,92.22
Tulsipur Municipality ,Average Household Size,4.27
Tulsipur Municipality ,Sex  Ratio,93.92
Tulsipur Municipality ,Population  Density,566.3
Nepalgunj Municipality ,Household,15200
Nepalgunj Municipality ,Population  Male,38113
Nepalgunj Municipality ,Population  Female,35666
Nepalgunj Municipality ,Growth  Rate,2.49
Nepalgunj Municipality ,Area Km. in Sq.,12.51
Nepalgunj Municipality ,Average Household Size,4.85
Nepalgunj Municipality ,Sex  Ratio,106.86
Nepalgunj Municipality ,Population  Density,5897.6
Gulariya Municipality ,Household,11230
Gulariya Municipality ,Population  Male,29399
Gulariya Municipality ,Population  Female,27833
Gulariya Municipality ,Growth  Rate,2.18
Gulariya Municipality ,Area Km. in Sq.,95.14
Gulariya Municipality ,Average Household Size,5.1
Gulariya Municipality ,Sex  Ratio,105.63
Gulariya Municipality ,Population  Density,601.56
Birendranagar Municipality ,Household,12045
Birendranagar Municipality ,Population  Male,27221
Birendranagar Municipality ,Population  Female,24916
Birendranagar Municipality ,Growth  Rate,5.08
Birendranagar Municipality ,Area Km. in Sq.,34.95
Birendranagar Municipality ,Average Household Size,4.33
Birendranagar Municipality ,Sex  Ratio,109.25
Birendranagar Municipality ,Population  Density,1491.76
Narayan Municipality ,Household,4681
Narayan Municipality ,Population  Male,10733
Narayan Municipality ,Population  Female,11262
Narayan Municipality ,Growth  Rate,1.23
Narayan Municipality ,Area Km. in Sq.,67.01
Narayan Municipality ,Average Household Size,4.7
Narayan Municipality ,Sex  Ratio,95.3
Narayan Municipality ,Population  Density,328.23
Dipayal Silgadhi Municipality ,Household,5509
Dipayal Silgadhi Municipality ,Population  Male,13686
Dipayal Silgadhi Municipality ,Population  Female,12822
Dipayal Silgadhi Municipality ,Growth  Rate,1.84
Dipayal Silgadhi Municipality ,Area Km. in Sq.,73.98
Dipayal Silgadhi Municipality ,Average Household Size,4.81
Dipayal Silgadhi Municipality ,Sex  Ratio,106.74
Dipayal Silgadhi Municipality ,Population  Density,358.31
Dhangadhi Municipality ,Household,21059
Dhangadhi Municipality ,Population  Male,53237
Dhangadhi Municipality ,Population  Female,50810
Dhangadhi Municipality ,Growth  Rate,4.34
Dhangadhi Municipality ,Area Km. in Sq.,103.73
Dhangadhi Municipality ,Average Household Size,4.94
Dhangadhi Municipality ,Sex  Ratio,104.78
Dhangadhi Municipality ,Population  Density,1003.06
Tikapur Municipality ,Household,11639
Tikapur Municipality ,Population  Male,27640
Tikapur Municipality ,Population  Female,29343
Tikapur Municipality ,Growth  Rate,3.86
Tikapur Municipality ,Area Km. in Sq.,67.11
Tikapur Municipality ,Average Household Size,4.9
Tikapur Municipality ,Sex  Ratio,94.2
Tikapur Municipality ,Population  Density,849.1
Bhimdatta Municipality ,Household,20695
Bhimdatta Municipality ,Population  Male,53098
Bhimdatta Municipality ,Population  Female,53568
Bhimdatta Municipality ,Growth  Rate,2.77
Bhimdatta Municipality ,Area Km. in Sq.,171.24
Bhimdatta Municipality ,Average Household Size,5.15
Bhimdatta Municipality ,Sex  Ratio,99.12
Bhimdatta Municipality ,Population  Density,622.9
Amargadhi Municipality ,Household,4786
Amargadhi Municipality ,Population  Male,10963
Amargadhi Municipality ,Population  Female,11278
Amargadhi Municipality ,Growth  Rate,1.9
Amargadhi Municipality ,Area Km. in Sq.,138.95
Amargadhi Municipality ,Average Household Size,4.65
Amargadhi Municipality ,Sex  Ratio,97.21
Amargadhi Municipality ,Population  Density,160.06
Dasharathchanda Municipality ,Household,3795
Dasharathchanda Municipality ,Population  Male,8295
Dasharathchanda Municipality ,Population  Female,9132
Dasharathchanda Municipality ,Growth  Rate,-0.51
Dasharathchanda Municipality ,Area Km. in Sq.,55.01
Dasharathchanda Municipality ,Average Household Size,4.59
Dasharathchanda Municipality ,Sex  Ratio,90.83
Dasharathchanda Municipality ,Population  Density,316.8
