District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,6-10 years,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,More than 10 years,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,00 - 04 Years,Length of stay not stated,260
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Less than 1 year,203
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,1-5 years,1485
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,6-10 years,634
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,More than 10 years,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,05 - 09 Years,Length of stay not stated,373
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Less than 1 year,277
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,1-5 years,2016
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,6-10 years,1494
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,More than 10 years,375
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,10 - 14 Years,Length of stay not stated,384
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Less than 1 year,746
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,1-5 years,3193
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,6-10 years,1482
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,More than 10 years,1061
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,15 - 19 Years,Length of stay not stated,470
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Less than 1 year,1089
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,1-5 years,6354
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,6-10 years,2175
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,More than 10 years,1251
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,20 - 24 Years,Length of stay not stated,703
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Less than 1 year,740
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,1-5 years,4950
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,6-10 years,4309
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,More than 10 years,1965
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,25 - 29 Years,Length of stay not stated,799
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Less than 1 year,289
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,1-5 years,2313
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,6-10 years,3396
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,More than 10 years,3960
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,30 - 34 Years,Length of stay not stated,643
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Less than 1 year,142
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,1-5 years,1690
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,6-10 years,1601
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,More than 10 years,4635
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,35 - 39 Years,Length of stay not stated,434
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Less than 1 year,90
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,1-5 years,953
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,6-10 years,1011
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,More than 10 years,3870
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,40 - 44 Years,Length of stay not stated,413
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Less than 1 year,49
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,1-5 years,553
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,6-10 years,620
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,More than 10 years,3057
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,45 - 49 Years,Length of stay not stated,295
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Less than 1 year,33
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,1-5 years,382
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,6-10 years,440
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,More than 10 years,2213
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,50 - 54 Years,Length of stay not stated,284
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Less than 1 year,52
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,1-5 years,339
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,6-10 years,232
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,More than 10 years,1847
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,55 - 59 Years,Length of stay not stated,207
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Less than 1 year,64
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,1-5 years,277
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,6-10 years,264
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,More than 10 years,1228
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,60 - 64 Years,Length of stay not stated,184
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Less than 1 year,56
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,1-5 years,216
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,6-10 years,128
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,More than 10 years,1065
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,65 - 69 Years,Length of stay not stated,96
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Less than 1 year,41
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,1-5 years,156
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,6-10 years,189
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,More than 10 years,706
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,70 - 74 Years,Length of stay not stated,65
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Less than 1 year,41
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,1-5 years,243
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,6-10 years,227
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,More than 10 years,841
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Female,75+ Years,Length of stay not stated,154
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,Less than 1 year,54
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,1-5 years,46
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,6-10 years,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,More than 10 years,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,Length of stay not stated,15
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Less than 1 year,8
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,1-5 years,141
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,6-10 years,25
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,More than 10 years,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Length of stay not stated,17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Less than 1 year,16
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,1-5 years,154
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,6-10 years,89
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,More than 10 years,24
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Length of stay not stated,49
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Less than 1 year,25
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,1-5 years,17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,6-10 years,83
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,More than 10 years,41
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Length of stay not stated,8
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Less than 1 year,17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,1-5 years,87
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,6-10 years,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,More than 10 years,52
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Length of stay not stated,43
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,Less than 1 year,39
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,1-5 years,118
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,6-10 years,39
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,More than 10 years,55
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,Length of stay not stated,55
